"Photo","Picture","MLS Number","Class","Building Type","Area","Price","Address","City","State","Status","Radar ID","Zoning","Days On Market"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702585/0/60/45/51bc9759f7935bc885cd8e99dbfa087d/6/b6d28c11fe266f6a2aac186aec14dd4f/MAXEBRDI40702585.JPG","5","40702587","COMM INDUSTRIAL FOR LEASE","Comm Ind For Lease","Bethel Island/Byron/Knigh","$653","6329 BETHEL ISLAND RD","BETHEL ISLAND","CA","Rented-Leased",,"2036","72"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40708695/0/60/45/c9986d8425f25b6334e61fcc28da9a59/11/fe1301cd3512efc62ff26382636113a1/MAXEBRDI40708695.JPG","27","1234567","LEASE RENTAL","Detached","Tracy","$1,700","45 Portola Way","TRACY","CA","Cancelled",,,"30"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40709876/0/60/45/efecbd4d4e8bb8f440f83bf622a43b42/6/b6b11b9b3ffb6f140e91e6aebccc4890/MAXEBRDI40709876.JPG","4","40709876","LEASE RENTAL","Detached","Antioch","$1,700","2723 San Elijo Ct.","ANTIOCH","CA","Pending",,,"0"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712696/0/60/45/d84b2c2a0d4f0378e02dfa87c4e00bca/11/8200d2896a5a3df648a0231470577eed/MAXEBRDI40712696.JPG","15","40712696","LEASE RENTAL","Detached","San Joaquin County","$1,700","216 Van Dyken Way","RIPON","CA","New",,,"1"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40701219/0/60/45/5f57a3db8f3d65f8ff520a304675bf34/5/f73092bdbb9868e5c5c5a9c400967659/MAXEBRDI40701219.JPG","21","40701219","COMM INDUSTRIAL FOR LEASE","Comm Ind For Lease","Pinole","$1,875","1690F San Pablo Ave","PINOLE","CA","Price Change",,"3003","83"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711797/0/60/45/fa5f2d56e740ab7fc4cfd05f05e24900/8/612b06638d67c93a01bf78e39cc0cb3d/MAXEBRDI40711797.JPG","5","40711797","LEASE RENTAL","Detached","Antioch","$1,900","4516 PAMPAS CIR","ANTIOCH","CA","Active",,"1001","7"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40703463/0/60/45/499da6a06c8143184a0c6f5f4962fd59/6/3eaca547d5f0078a7dce72b7d208ad97/MAXEBRDI40703463.JPG","5","40703463","LEASE RENTAL","Detached","Brentwood","$2,295","747 ALLBROOK CT","BRENTWOOD","CA","Active",,"1001","55"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711760/0/60/45/00911aefe83e4615902ef985003ea500/11/02bb01cdbfab6e16daf729d20f5175dd/MAXEBRDI40711760.JPG","25","40711760","LEASE RENTAL","Detached","Tracy","$2,350","134 Thomas Ave","TRACY","CA","Active",,,"8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40710891/0/60/45/df320f87ec389750b8b181b532c257cb/8/0870c04ef45e54345c7560ce1195c90f/MAXEBRDI40710891.JPG","11","40710891","LEASE RENTAL","Townhouse","Lafayette","$2,400","917 HOUGH AVE","LAFAYETTE","CA","Rented-Leased",,"1004","13"
